id,dish_name,other_names,category,food_group,food_subgroup,description,serving_default_desc,serving_basis,kcal_default,kcal_per_100,per100_unit,protein_g,carbs_g,fat_g,portion_note,input_mode,is_favourite,source,last_updated
flavoured-oat-milk,Flavoured oat milk,,Dairy and eggs,Dairy and eggs,Dairy alternatives,"Dairy-free, plant-based milk alternative made from oats and water with added flavours",1 glass (250ml) = 250g,Per Serving (250g),133,53,Per 100g,2.78,19,5.55,,photo,FALSE,NIP,2025
oat-milk,Oat milk,,Dairy and eggs,Dairy and eggs,Dairy alternatives,"Dairy-free, plant-based milk alternative made from oats",1 glass (250ml) = 250g,Per Serving (250g),133,53,Per 100g,5.58,22.5,2.55,,photo,FALSE,NIP,2025
flavoured-milk,Flavoured milk,,Dairy and eggs,Dairy and eggs,Dairy milk,Sweetened dairy drink made with milk and added flavours,1 glass (250ml) = 250ml,Per Serving (250ml),173,69,Per 100ml,6,26.9,4.3,,photo,FALSE,NIP,2025
milk,Milk,,Dairy and eggs,Dairy and eggs,Dairy milk,Fresh dairy milk with standard fat content,1 glass (250ml) = 250ml,Per Serving (250ml),168,67,Per 100ml,8.48,12.88,8.83,,photo,FALSE,NIP,2025
buttermilk,Buttermilk,,Dairy and eggs,Dairy and eggs,Dairy milk,"Fermented dairy drink with a thick, creamy texture and tangy taste",1 cup(s) = 245g,Per Serving (245g),152,62,Per 100g,7.86,11.96,8.11,,photo,FALSE,Borrowed,2025
raita,Raita,,Dairy and eggs,Dairy and eggs,Dairy-based dishes,"Indian yoghurt-based side dish with cucumber, tomatoes, and mild spices",1 bowl(s) = 280g,Per Serving (280g),218,78,Per 100g,9.94,18.06,11.93,,photo,FALSE,Lab Analysis,2024
braised-egg,Braised egg,,Dairy and eggs,Dairy and eggs,Egg-based dishes,Hard boiled egg braised in soya sauce,1 whole = 36g,Per Serving (36g),69,193,Per 100g,5.98,0.58,4.81,,photo,FALSE,Lab Analysis,2025
egg-fuyong,Egg fuyong,,Dairy and eggs,Dairy and eggs,Egg-based dishes,"Egg omelette fried with peas, carrots, and prawns",1 plate(s) = 373g,Per Serving (373g),1015,272,Per 100g,39.02,7.87,91.91,,photo,FALSE,Derived,2026
fried-egg,Fried egg,,Dairy and eggs,Dairy and eggs,Egg-based dishes,Egg fried in cooking oil,1 piece(s) = 39g,Per Serving (39g),92,237,Per 100g,6.14,0.96,7.08,,photo,FALSE,Lab Analysis,2025
luncheon-meat-with-egg,Luncheon meat with egg,,Dairy and eggs,Dairy and eggs,Egg-based dishes,Sliced preserved meat fried with egg,1 scoop(s) (serving spoon) = 100g,Per Serving (100g),297,297,Per 100g,11.63,3.39,26.28,,photo,FALSE,Lab Analysis,2010
onion-omelette,Onion omelette,,Dairy and eggs,Dairy and eggs,Egg-based dishes,Beaten eggs cooked into folded flat shape with onion,1 scoop(s) (serving spoon) = 100g,Per Serving (100g),214,214,Per 100g,10.6,2.7,17.8,,photo,FALSE,Lab Analysis,2025
oyster-omelette,Oyster omelette,,Dairy and eggs,Dairy and eggs,Egg-based dishes,Beaten eggs cooked into folded flat shape with oysters,1 scoop(s) (serving spoon) = 100g,Per Serving (100g),255,255,Per 100g,7.1,12.8,19.5,,photo,FALSE,Lab Analysis,2010
plain-omelette,Plain omelette,,Dairy and eggs,Dairy and eggs,Egg-based dishes,Beaten eggs cooked into folded flat shape without filling,1 whole = 24g,Per Serving (24g),40,165,Per 100g,2.93,0,3.14,,photo,FALSE,Borrowed,2025
prawn-and-green-onion-omelette,Prawn and green onion omelette,,Dairy and eggs,Dairy and eggs,Egg-based dishes,Beaten eggs cooked into folded flat shape with prawn and green onion,1 scoop(s) (serving spoon) = 100g,Per Serving (100g),352,352,Per 100g,13.38,0.15,33.13,,photo,FALSE,Lab Analysis,2010
