Category,Food Name,Description,Food Group,Food Subgroup,Edible Portion,Default Serving Size,Alternative Serving Size(s),Source of Data,Last Updated,Per 100 Unit,Per Serving Size,Energy (kcal) - Per 100,Energy (kcal) - Per Serving,Protein (g) - Per 100,Protein (g) - Per Serving,Total Fat (g) - Per 100,Total Fat (g) - Per Serving,Saturated Fat (g) - Per 100,Saturated Fat (g) - Per Serving,Trans Fat (g) - Per 100,Trans Fat (g) - Per Serving,Carbohydrate (g) - Per 100,Carbohydrate (g) - Per Serving,Sugar (g) - Per 100,Sugar (g) - Per Serving,Added Sugar (g) - Per 100,Added Sugar (g) - Per Serving,Dietary Fibre (g) - Per 100,Dietary Fibre (g) - Per Serving,Sodium (mg) - Per 100,Sodium (mg) - Per Serving,Potassium (mg) - Per 100,Potassium (mg) - Per Serving,Calcium (mg) - Per 100,Calcium (mg) - Per Serving,Iron (mg) - Per 100,Iron (mg) - Per Serving,Water (g) - Per 100,Water (g) - Per Serving,Nitrogen (g) - Per 100,Nitrogen (g) - Per Serving,Polyunsaturated Fat (g) - Per 100,Polyunsaturated Fat (g) - Per Serving,Monounsaturated Fat (g) - Per 100,Monounsaturated Fat (g) - Per Serving,Omega-3 (EPA+DHA) (mg) - Per 100,Omega-3 (EPA+DHA) (mg) - Per Serving,Cholesterol (mg) - Per 100,Cholesterol (mg) - Per Serving,Glucose (g) - Per 100,Glucose (g) - Per Serving,Fructose (g) - Per 100,Fructose (g) - Per Serving,Maltose (g) - Per 100,Maltose (g) - Per Serving,Galactose (g) - Per 100,Galactose (g) - Per Serving,Sucrose (g) - Per 100,Sucrose (g) - Per Serving,Lactose (g) - Per 100,Lactose (g) - Per Serving,Starch (g) - Per 100,Starch (g) - Per Serving,Vitamin A (μg) - Per 100,Vitamin A (μg) - Per Serving,Retinol (μg) - Per 100,Retinol (μg) - Per Serving,B-carotene (μg) - Per 100,B-carotene (μg) - Per Serving,Thiamine (Vitamin B1) (mg) - Per 100,Thiamine (Vitamin B1) (mg) - Per Serving,Riboflavin (Vitamin B2) (mg) - Per 100,Riboflavin (Vitamin B2) (mg) - Per Serving,Vitamin B6 (mg) - Per 100,Vitamin B6 (mg) - Per Serving,Folic Acid (Vitamin B9) (μg) - Per 100,Folic Acid (Vitamin B9) (μg) - Per Serving,Vitamin B12 (μg) - Per 100,Vitamin B12 (μg) - Per Serving,Vitamin C (mg) - Per 100,Vitamin C (mg) - Per Serving,Vitamin D (IU) - Per 100,Vitamin D (IU) - Per Serving,Vitamin E (IU) - Per 100,Vitamin E (IU) - Per Serving,Vitamin K (μg) - Per 100,Vitamin K (μg) - Per Serving,Phosphorus (mg) - Per 100,Phosphorus (mg) - Per Serving,Selenium (μg) - Per 100,Selenium (μg) - Per Serving,Zinc (mg) - Per 100,Zinc (mg) - Per Serving
Beverages,Soy milk (no topping),Soybean milk made from soaked soya beans and water,Beverages,Soy milk,100%,1 cup(s) = 450ml,-,Derived,2026,Per 100ml,Per Serving (450ml),55,248,3.4,15.3,1.74,7.83,0.27,1.22,0,0,6.5,29.25,5.16,23.22,-,-,-,-,-,-,137,617,12,54,0.49,2.21,91.02,409.59,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,5.16,23.22,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Soy milk (less sugar),Beverage made from soaked soya beans and water with less sugar,Beverages,Soy milk,100%,1 cup(s) = 450ml,-,Derived,2026,Per 100ml,Per Serving (450ml),45,203,3.53,15.89,1.74,7.83,0.29,1.31,0,0,3.89,17.51,2.8,12.6,-,-,-,-,-,-,75,338,12,54,0.49,2.21,92.58,416.61,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,2.8,12.6,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,"Soy milk (less sugar, packaged)",Ready-to-drink soybean milk with less sugar,Beverages,Soy milk,100%,1 glass (200ml) = 200ml,-,NIP,2025,Per 100ml,Per Serving (200ml),53,106,3.12,6.24,1.51,3.02,0.3,0.6,0,0,6.76,13.52,4.08,8.16,-,-,0.44,0.88,9,18,-,-,95,190,0.39,0.78,-,-,-,-,0.45,0.9,0.18,0.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,"Soy milk (no sugar, no topping)","Soybean milk made from soaked soya beans and water, with no sugar added",Beverages,Soy milk,100%,1 cup(s) = 450ml,-,Derived,2026,Per 100ml,Per Serving (450ml),35,158,3.65,16.43,1.74,7.83,0.3,1.35,0,0,1.27,5.72,0.44,1.98,-,-,-,-,-,-,12,54,12,54,0.49,2.21,94.14,423.63,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0.44,1.98,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Soy milk (packaged),Ready-to-drink soybean milk,Beverages,Soy milk,100%,1 glass (250ml) = 250ml,-,NIP,2025,Per 100ml,Per Serving (250ml),52,130,2.57,6.42,1.77,4.43,0.29,0.73,0,0,6.59,16.48,5.15,12.88,-,-,0.37,0.93,35,88,-,-,82,205,0.41,1.03,-,-,-,-,1.09,2.73,0.73,1.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Soy milk with grass jelly,Soybean milk served with black grass jelly pieces,Beverages,Soy milk,100%,1 cup(s) = 450ml,-,Derived,2026,Per 100ml,Per Serving (450ml),43,194,2.01,9.04,0.96,4.32,0.16,0.72,0,0,6.41,28.85,5.96,26.82,-,-,-,-,-,-,93,419,8,36,0.37,1.67,93.09,418.91,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,5.96,26.82,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Soy milk with pearls,Soybean milk served with tapioca pearls,Beverages,Soy milk,100%,1 cup(s) = 450ml,-,Derived,2026,Per 100ml,Per Serving (450ml),74,333,2.83,12.74,1.42,6.39,0.19,0.86,Trace,Trace,12.46,56.07,7.64,34.38,-,-,-,-,-,-,104,468,10,45,0.39,1.76,86.14,387.63,-,-,0.74,3.33,0.25,1.13,Trace,Trace,-,-,Trace,Trace,Trace,Trace,Trace,Trace,Trace,Trace,7.64,34.38,Trace,Trace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Soy milk with pearls (no sugar),Soybean milk served with tapioca pearls and no added sugar,Beverages,Soy milk,100%,1 cup(s) = 450ml,-,Derived,2026,Per 100ml,Per Serving (450ml),57,257,3.12,14.04,1.63,7.33,0.22,0.99,Trace,Trace,7.38,33.21,2.36,10.62,-,-,-,-,-,-,123,554,11,50,0.44,1.98,93.81,422.15,-,-,0.86,3.87,0.29,1.31,Trace,Trace,-,-,Trace,Trace,Trace,Trace,Trace,Trace,Trace,Trace,2.36,10.62,Trace,Trace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,Soy milk with pearls (less sugar),Soybean milk served with tapioca pearls and lower sugar level,Beverages,Soy milk,100%,1 cup(s) = 450ml,-,Derived,2026,Per 100ml,Per Serving (450ml),63,284,2.92,13.14,1.43,6.44,0.2,0.9,Trace,Trace,9.58,43.11,4.97,22.37,-,-,-,-,-,-,112,504,11,50,0.41,1.84,86.44,388.98,-,-,0.77,3.47,0.26,1.17,Trace,Trace,-,-,Trace,Trace,Trace,Trace,Trace,Trace,Trace,Trace,4.97,22.37,Trace,Trace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Beverages,"Soy milk (less sugar, no topping)",Soybean milk made from soaked soya beans and water with lower sugar level,Beverages,Soy milk,100%,1 cup(s) = 450ml,-,Derived,2026,Per 100ml,Per Serving (450ml),43,194,3.55,15.97,1.67,7.52,0.27,1.22,0,0,3.43,15.44,2.89,13.01,-,-,-,-,-,-,143,644,12,54,0.48,2.16,93.08,418.86,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,2.89,13.01,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
